birthdate	sex	registration	user_id	race	old_user_id
		2014-01-25	1317	unspecified	1317
	M	2014-07-08	2420		2420
1919-02-03		2016-08-30	716	white	716
	F	2020-01-09	2653		1929
		2018-06-07	924	black	924
1954-12-22	M	2023-06-19	1387		1387
1918-07-16		2021-08-27	1888		1888
	F	2021-12-13	2654		1418
	F	2019-02-07	1181		1181
1908-03-17		2016-12-10	1952		1952
1953-07-16		2018-04-26	2655		1414
	M	2014-09-28	1807	white	1807
	F	2023-04-30	982		982
2021-11-04	M	2013-10-17	803	asian	803
2004-01-10	F	2019-09-24	1823	white	1823
		2022-04-14	2656		2577
1911-05-01		2017-04-10	2657		2300
	F	2020-06-23	2130		2130
2003-05-05	F	2016-02-29	2658		2478
1935-10-27	F	2015-02-17	2659		266
2016-08-08	M	2014-05-12	2660		2531
1981-07-21	F	2016-08-30	2661	asian	708
	M	2022-08-08	1713	black	1713
1991-09-28	M	2018-05-13	257		257
		2014-10-27	814		814
1969-08-07	M	2020-11-22	1995	asian	1995
1952-01-15	M	2018-08-08	550		550
		2014-11-25	403		403
		2022-06-29	2101	unspecified	2101
		2020-09-21	1487	black	1487
	F	2014-01-27	348		348
1918-10-19		2022-10-29	62		62
1925-03-27		2020-08-02	796		796
1984-02-17	M	2016-09-07	405		405
1960-10-29		2022-03-16	1721	asian	1721
	F	2017-04-28	2662	black	2110
2014-12-02	M	2021-10-11	1857		1857
		2023-03-17	1601	white	1601
1942-01-13	F	2016-05-14	2663		1084
	M	2015-01-05	1756		1756
1929-01-18		2017-01-06	398	asian	398
2005-12-28		2023-07-19	231		231
1936-07-28		2023-03-02	132	asian	132
1944-02-08	F	2018-04-22	1506	black	1506
		2016-05-20	2353		2353
		2020-11-30	2345		2345
1975-09-02		2014-12-12	833		833
2001-05-01		2023-08-14	2664	unspecified	469
1960-08-16		2013-10-24	1287		1287
1916-10-14		2019-03-25	1489		1489
	M	2020-09-24	699		699
2021-03-12		2014-06-21	2665		1185
	M	2022-07-26	2017	white	2017
1922-09-14	F	2014-03-10	2666		179
	F	2016-10-27	1883		1883
	F	2022-02-26	798		798
1965-03-23		2018-08-30	1887	asian	1887
1996-07-12		2022-04-13	1443	white	1443
1917-07-30		2016-03-08	2341	white	2341
1923-01-04	M	2021-12-10	2667		2003
1920-02-04	M	2018-05-04	1516		1516
2011-09-11	M	2015-05-24	1869		1869
1919-12-02		2021-11-01	2668		1461
1973-06-16		2016-06-07	2669	asian	810
		2021-09-27	245		245
		2014-10-07	2670		2379
1959-02-11		2023-08-01	2396		2396
1914-06-04		2020-12-15	1742	indian	1742
	M	2020-11-15	2671		1479
1937-11-21	F	2017-03-25	2224		2224
		2020-12-11	1203	unspecified	1203
1945-03-06		2016-06-25	2672	asian	2203
1923-10-16		2018-03-20	2514	indian	2514
2007-07-14	F	2017-03-10	2673	black	1621
	M	2018-10-06	983	black	983
		2023-09-18	2674		1509
1991-09-01	M	2018-11-03	124		124
2014-09-11		2018-10-23	2675		2158
		2021-11-05	1533	asian	1533
2007-07-16		2020-05-29	1651	white	1651
		2022-04-23	1831		1831
2017-05-08	F	2015-03-06	2676		1558
1976-10-08	M	2023-08-22	2677		1888
1937-01-04		2017-01-19	724		724
1909-01-06	F	2020-04-14	2506	unspecified	2506
		2018-12-05	2678		2524
1981-03-09		2022-02-08	1095		1095
	M	2022-11-05	1658	black	1658
1913-07-07		2016-10-16	2386		2386
1924-05-23		2020-01-17	2339		2339
1939-12-27		2014-11-13	278	unspecified	278
1972-07-12		2014-03-29	161		161
2021-04-13	F	2018-11-16	1720		1720
		2015-06-24	1510		1510
		2020-06-19	1285		1285
1922-04-22	F	2016-07-14	1205		1205
1931-09-02		2014-11-21	2679		1023
1985-04-02		2021-04-19	2680		473
1930-03-29		2014-02-08	2382		2382
	M	2013-11-23	2681		1658
1996-08-28		2016-01-08	2682		1356
		2017-11-30	1227		1227
	M	2017-02-24	319		319
1975-05-06		2013-12-18	2683	asian	507
	F	2014-12-19	2040		2040
1922-09-01	F	2015-01-12	886	black	886
1931-05-18	F	2016-02-16	721	unspecified	721
1943-06-23	M	2021-02-21	57	asian	57
		2015-10-25	277	white	277
1943-01-02	F	2015-01-08	2549		2549
		2017-12-12	2684	asian	2578
		2015-08-13	1800	black	1800
		2019-05-03	1200		1200
1918-09-01		2015-10-09	409		409
1944-07-05		2017-11-03	2443		2443
	M	2022-12-13	2062	white	2062
1935-02-07	M	2017-11-14	2685	unspecified	119
	M	2020-01-04	2310		2310
1927-04-21	M	2016-10-25	2686	black	2084
	F	2022-03-31	2687		1337
1951-02-22	M	2017-04-24	1339	black	1339
		2017-10-05	22		22
1928-09-25	M	2021-08-24	2688		1342
2010-07-22	F	2023-02-08	219		219
	M	2022-04-22	2689		2148
1959-08-30		2016-06-30	1778		1778
		2019-08-13	705		705
		2019-03-19	1268	unspecified	1268
1910-07-10		2018-08-02	2328		2328
1935-07-14		2018-01-20	2690	white	800
2005-12-15	M	2022-10-29	376		376
1988-02-06	F	2013-10-26	1609		1609
		2015-05-05	2343		2343
		2017-01-09	1638		1638
	M	2016-03-11	2691		1509
1980-02-23	M	2022-10-08	19		19
		2022-05-11	874		874
1951-09-06		2020-01-09	2692		338
		2017-03-04	1149		1149
2007-08-19		2018-01-24	56		56
		2019-01-24	1097	white	1097
2016-09-15		2016-11-21	2693	black	2306
1936-09-02	M	2018-08-07	2694	indian	2104
	M	2020-10-20	2695		2352
1966-03-15	F	2021-04-08	2696	asian	1225
1985-10-18	F	2022-08-01	262	asian	262
		2015-06-10	2168		2168
		2021-06-17	2027		2027
		2021-08-10	1143		1143
1987-05-06	M	2018-09-09	1904		1904
		2017-07-23	2697	white	1161
1993-09-19		2019-05-17	986		986
1964-08-26		2017-06-28	1767		1767
2003-07-04	F	2020-05-22	2698		238
		2014-01-05	2254		2254
2010-01-05		2020-08-23	2699		2443
		2016-08-10	37	indian	37
1929-04-24	M	2016-01-03	2700		219
1989-04-08		2017-12-09	691		691
1912-02-14		2021-08-20	129		129
2010-12-05		2020-03-13	2701	indian	2129
		2018-04-20	1129	asian	1129
1917-05-15	F	2021-12-22	542		542
		2020-04-08	2702		2094
2022-07-06		2020-02-03	2703		2272
2018-04-06	M	2014-04-06	103		103
		2015-04-29	1202	unspecified	1202
1996-01-26	F	2022-11-20	2704	asian	577
1915-08-27		2022-02-11	2705		1767
	F	2021-05-15	51		51
2006-08-27		2022-01-26	1117	white	1117
	M	2016-11-09	481	unspecified	481
1975-01-11		2021-12-11	2706		1454
1908-07-09	F	2015-02-28	823		823
	M	2017-09-21	1684	white	1684
	F	2015-05-09	2707		1019
	M	2021-08-26	768		768
1940-09-19		2022-03-25	2175	asian	2175
1955-08-01	M	2022-01-06	359		359
1965-02-09		2023-04-12	1739	black	1739
1975-02-16	F	2016-08-26	1815	white	1815
1996-07-18		2013-10-23	1546		1546
2012-01-08		2013-11-23	492		492
	M	2015-01-07	1783		1783
1958-04-21		2017-01-03	86		86
2020-11-21		2018-03-27	1524	unspecified	1524
1955-10-05	F	2014-09-14	335		335
		2020-11-02	1677		1677
		2018-09-19	2708	unspecified	742
1963-07-17	F	2016-11-15	2709		1735
1997-04-27		2020-01-14	242	black	242
2020-12-09	M	2021-06-30	311		311
		2020-08-28	2020		2020
2023-05-23		2015-09-15	2710	unspecified	366
		2016-06-08	95	black	95
1922-05-28	F	2019-06-23	2711		1118
	F	2016-08-17	12	unspecified	12
	F	2016-01-29	2260		2260
	M	2021-05-17	627		627
1913-09-08	F	2013-10-03	2108		2108
1917-01-06	M	2023-01-13	843	black	843
1949-01-04	F	2022-12-13	2712		1621
2017-11-11	F	2019-09-06	2452	black	2452
		2023-03-23	1919		1919
1910-08-11	M	2020-03-07	2425	black	2425
		2023-01-20	2713	asian	61
1948-10-15		2020-08-24	750		750
1913-07-19		2015-12-06	2474	black	2474
1955-12-15		2014-07-21	2714	white	910
		2019-12-07	2715		2229
1911-11-07	F	2022-05-18	906		906
1928-04-22	M	2015-07-21	1750		1750
	M	2022-10-28	2716		2165
1918-04-13		2023-09-12	1604	black	1604
		2014-04-11	2435		2435
		2014-12-09	2081	unspecified	2081
1911-03-07	M	2021-08-07	630		630
1984-05-14		2018-02-10	1435		1435
2018-05-03		2019-12-24	1907		1907
	M	2015-09-30	1496		1496
2017-10-03	F	2021-02-24	1266	asian	1266
2016-12-18		2019-07-26	2717		1720
	M	2016-05-22	1020	indian	1020
1946-11-18		2016-06-06	1718	white	1718
	M	2020-08-22	400	black	400
2007-11-24	F	2018-09-20	2718		2266
		2020-04-10	2370		2370
	F	2017-07-29	2719		2129
1952-12-01		2018-08-14	1538	indian	1538
1915-09-11	M	2022-08-31	2720	asian	1439
1920-06-09	M	2020-12-02	2721		42
	M	2017-09-16	2441		2441
		2020-09-16	2512	white	2512
		2022-03-29	1796		1796
		2022-08-12	2722		464
1968-02-09	F	2014-04-04	1491		1491
1927-11-20	M	2017-04-14	822	unspecified	822
1930-11-24	F	2017-06-06	582		582
1959-04-15		2015-10-24	2723		1849
1962-09-03	M	2013-12-11	2724		2548
2020-12-13	M	2023-06-24	670	asian	670
		2016-09-14	2725	unspecified	1385
		2016-06-12	530		530
		2014-02-03	2162	white	2162
1984-09-20		2020-04-14	1938		1938
	F	2018-09-13	1892	black	1892
1934-05-19	F	2015-06-16	2550		2550
	M	2018-09-04	505		505
		2019-01-29	2154		2154
		2023-09-12	1946		1946
		2018-07-06	1235		1235
		2013-11-13	1074		1074
1980-08-30		2023-07-08	1880		1880
1966-07-04	M	2020-07-01	2045		2045
1995-11-19		2022-05-30	2726		579
1920-02-04	F	2016-02-25	514		514
2015-02-12		2016-09-17	2087	white	2087
1972-11-16	M	2020-02-16	2727	asian	2243
		2023-02-10	979		979
1910-11-25		2014-08-16	288		288
2003-01-12	F	2022-09-19	2728		1576
1958-12-01	M	2020-07-30	1824		1824
		2014-11-26	2729		1285
	M	2023-03-30	2730		319
1946-05-25	F	2017-08-23	2731	unspecified	753
		2014-02-02	1463		1463
	F	2021-12-11	2732		1738
1969-12-29	M	2021-09-12	1136		1136
		2022-11-19	1535		1535
		2014-12-23	2733		277
1966-02-19	F	2015-06-20	385	unspecified	385
1959-10-19	M	2021-06-05	2010		2010
		2022-07-11	2734		713
1972-05-31	M	2021-04-03	1578		1578
2023-08-23	M	2015-05-13	749		749
1937-06-20	M	2015-08-04	2002	black	2002
1974-11-13	F	2015-08-30	522		522
	F	2014-06-17	634		634
	F	2016-11-17	1653	unspecified	1653
		2016-02-21	1634		1634
		2023-02-19	2735		1664
	F	2018-09-02	2736		748
		2014-02-04	2312		2312
		2018-03-15	2036		2036
1927-09-04	M	2014-02-10	466		466
1997-09-06		2022-05-01	2737		231
		2023-07-23	2738	black	1113
	F	2022-08-13	2739		822
1980-01-21		2019-02-17	1820		1820
1992-07-28		2020-07-20	2740		1425
2014-07-29		2019-03-20	2741	black	2233
1971-09-05		2017-12-13	2742		419
1930-11-21	M	2023-07-03	500		500
1929-07-29		2020-12-10	1572	black	1572
1966-11-20		2022-10-01	2743		262
		2014-05-16	2250		2250
1913-04-28		2015-03-14	1047		1047
		2017-03-10	2744		20
		2023-09-06	2745		1101
1911-09-28	M	2016-10-27	1469		1469
	F	2019-08-15	2746		1524
		2015-12-07	1348		1348
1980-01-26	F	2014-07-03	224		224
1932-06-21	M	2021-10-04	254	asian	254
1912-01-08		2017-05-13	2747		2485
	F	2020-01-04	2748		2092
1921-07-29	M	2021-10-02	2749		1833
	F	2022-12-15	1797		1797
2004-11-25		2021-01-22	1158		1158
2015-05-17		2022-02-02	167	asian	167
		2014-09-06	2546	unspecified	2546
		2020-10-10	1341		1341
2014-11-25	M	2020-01-16	2750		1385
	F	2019-12-22	2751		1287
1992-12-02		2015-08-26	2752	indian	2178
	F	2020-10-15	2753		568
1937-06-24	M	2021-04-13	2754		2175
1960-01-13	F	2023-07-19	714		714
	M	2017-02-20	2755		2104
1924-01-06	F	2021-05-20	1260		1260
1942-06-25		2020-12-29	2756		2108
1999-11-08		2015-05-25	1845		1845
	M	2020-03-13	1555	white	1555
		2022-12-25	1346	black	1346
	F	2016-07-20	1843		1843
1959-01-16		2015-03-30	118	indian	118
		2022-12-09	1273		1273
1951-04-07	M	2021-05-24	1615	unspecified	1615
1974-05-16		2018-01-01	1382		1382
1932-02-24		2021-05-04	317		317
		2021-07-16	1550		1550
1973-10-14	M	2018-04-16	2142		2142
	F	2022-06-02	912		912
2018-02-19		2016-02-18	2426		2426
		2022-04-15	2757	asian	549
1931-08-30		2015-09-15	2480		2480
	M	2023-01-06	789		789
1998-05-13	M	2015-03-27	1994		1994
1992-08-10	M	2018-07-26	2558	asian	2558
		2018-09-21	99		99
2013-04-26		2015-07-16	871		871
		2019-05-08	1033	black	1033
		2021-12-25	2758		1439
	F	2017-11-14	2308	unspecified	2308
	M	2016-02-07	1834		1834
1932-12-03	M	2017-04-30	2270		2270
		2015-02-10	2155		2155
	F	2018-02-24	2759		1351
		2016-10-28	2760		96
1924-11-17		2021-10-28	1847	unspecified	1847
	F	2020-04-05	2761	black	721
		2019-09-06	1835	asian	1835
	F	2017-08-09	105	white	105
1996-07-02		2023-07-19	2762		1750
1916-01-22		2016-07-27	2763		257
1951-05-16	M	2021-07-23	2545		2545
1923-10-29		2018-03-16	2764	black	2206
1959-03-21		2016-02-28	2498		2498
1909-12-27	M	2023-06-14	2765		86
1947-02-09		2022-07-01	2766		2040
		2021-07-26	350	black	350
1908-10-21		2018-10-12	2767		2103
1982-06-30	F	2015-03-22	2768		1858
1999-01-11	F	2016-05-26	252	unspecified	252
	F	2014-08-26	827		827
		2022-08-04	2769		1669
1965-02-08	M	2019-08-28	150		150
		2020-12-03	10	white	10
	M	2022-09-09	2770		1847
1992-05-26	F	2014-02-26	1168		1168
2007-10-03	M	2019-05-13	919	white	919
1976-09-22		2017-11-24	236	black	236
1953-07-18	M	2014-09-25	2771	black	1351
1914-04-12	M	2023-07-15	212		212
1954-01-24		2020-07-10	2772		1294
1916-08-15	F	2019-12-06	2773		1341
1968-10-01		2018-01-30	1215	unspecified	1215
	F	2015-12-28	146	asian	146
2017-06-29		2013-11-23	1442		1442
1959-03-02		2016-02-09	2774		2350
	M	2023-08-07	2021		2021
	M	2017-02-14	2775		1705
	M	2019-10-17	1557		1557
2003-05-05	F	2021-07-18	2776		2330
1993-11-30		2022-09-12	1607		1607
		2020-04-13	2777	unspecified	2378
		2020-09-30	2778		58
		2013-10-30	2006	white	2006
1944-12-11		2022-10-18	2779	white	409
2007-05-05	F	2023-06-11	697		697
	M	2020-12-14	1105	unspecified	1105
1957-06-13		2013-11-23	1822		1822
	F	2015-10-04	2780	asian	2068
1950-01-27		2015-04-10	2781		986
2009-07-25		2023-06-17	2782	unspecified	1963
1980-05-11	M	2023-04-04	1245		1245
	F	2019-08-28	837		837
	F	2021-03-01	2783		708
1972-04-22		2014-10-11	621		621
1917-02-22	M	2021-02-24	971		971
	F	2017-06-02	2442		2442
	F	2021-04-01	2784		2045
1944-05-26	M	2017-02-01	2785	unspecified	1425
2020-12-03		2022-12-09	2786		1735
		2014-02-08	297		297
1997-05-28	F	2017-12-28	2140	white	2140
1957-03-30		2015-10-08	163		163
2021-07-24	F	2018-01-04	2121		2121
1908-11-29	F	2020-09-10	2787		677
	M	2018-05-29	440		440
	M	2017-09-28	293		293
1947-08-29	F	2019-04-27	2433	unspecified	2433
		2021-10-12	344		344
	M	2013-10-19	913	unspecified	913
		2013-09-29	602		602
		2014-05-28	97	asian	97
1986-10-13	M	2019-07-19	2788	black	1463
	F	2021-03-31	2789	unspecified	1593
	M	2020-07-16	2790	black	429
	F	2018-07-17	2434		2434
		2016-03-08	834		834
		2018-03-19	2791		790
2000-05-08	M	2016-10-20	2792		2271
1955-08-21		2013-11-22	1832		1832
1982-09-05	M	2020-01-08	2117	white	2117
		2020-08-28	2793		140
	F	2019-11-14	2794		816
		2018-08-24	576		576
	M	2016-02-16	1184	white	1184
		2021-10-26	1564	unspecified	1564
1943-12-22	M	2017-11-26	2795		1334
1919-12-30	F	2020-03-05	2796		1947
1992-11-29	F	2017-04-10	1378	unspecified	1378
		2021-03-21	251		251
1922-01-24	M	2019-10-07	148		148
	M	2016-12-23	954		954
	M	2016-03-20	2797		425
1958-10-21		2016-02-04	2798	black	2043
1981-01-22		2023-09-06	1581	unspecified	1581
	F	2020-11-09	269		269
2013-12-26		2023-01-11	2169		2169
1969-11-12		2020-08-15	2799		1260
		2020-10-30	1436		1436
		2018-07-19	678	black	678
	M	2017-06-06	196		196
1921-11-19	F	2019-06-07	2526		2526
2023-09-03	F	2023-01-06	460		460
		2017-05-16	818		818
1946-12-08		2018-01-20	2225		2225
1920-04-04	F	2021-02-08	1552		1552
1940-11-22	M	2017-09-02	2800	unspecified	118
	F	2022-03-12	2801		1952
	M	2020-08-27	1512		1512
	F	2023-01-23	1283		1283
1988-03-19	M	2021-09-21	2802		64
		2013-10-21	2803	white	1855
		2018-09-05	1052	black	1052
		2019-09-06	1277		1277
1992-02-15		2019-07-15	1448		1448
1931-07-01		2016-02-01	2804		2522
1964-11-24		2013-11-19	1248	unspecified	1248
	M	2018-09-12	2479		2479
		2017-03-24	87		87
	F	2018-09-05	2268		2268
	F	2023-04-17	2805		713
1935-04-26		2014-08-10	2136		2136
2010-02-20	M	2022-07-25	2806		34
	M	2022-05-27	2807	asian	2128
1953-07-14		2015-11-24	2808		1461
		2016-08-22	2809		528
	M	2021-10-21	2810		1892
	M	2014-02-12	2811	unspecified	306
2018-01-16		2018-01-24	1299		1299
1951-09-10		2014-06-26	2812		1052
1961-09-25		2013-11-27	2369	asian	2369
		2021-08-21	7		7
1971-07-30	F	2019-07-25	690		690
1936-02-23		2017-10-31	2813		1209
	F	2017-10-21	2814		97
1930-08-14		2017-10-18	2815		1820
	F	2022-12-15	1244		1244
	M	2015-05-25	2399		2399
	M	2016-04-13	2816	white	1815
1981-06-10		2017-11-21	1906		1906
1922-11-08	F	2022-09-02	2047	asian	2047
1986-09-14	M	2022-10-08	1584		1584
1957-12-26	F	2021-03-01	2817	white	1785
2007-09-06	F	2022-05-05	1286		1286
1945-09-07	F	2013-10-24	2483		2483
		2023-07-05	2818		1574
	M	2016-06-29	1031	unspecified	1031
		2017-05-13	1212		1212
1917-02-09	M	2017-03-14	903	black	903
	F	2019-04-03	2819		2242
2019-07-06	F	2019-02-17	2820		1669
1997-09-04	M	2019-10-20	2821		2205
1924-04-03		2014-06-05	2822		1255
	F	2022-01-26	2823		1823
1946-01-30		2023-08-25	731		731
	F	2014-07-02	1318		1318
2010-01-07		2019-06-11	2824		1136
1965-03-31		2019-03-01	2825		1581
1913-02-09		2022-06-16	605		605
2016-06-27	M	2023-01-05	1953	unspecified	1953
		2017-06-26	2826	white	198
2008-06-28		2021-10-10	1672	black	1672
2016-02-18		2014-02-19	639	unspecified	639
2005-03-09	F	2019-09-12	1759		1759
1998-01-10		2019-07-18	1276		1276
		2015-11-26	847		847
1959-05-14		2019-09-08	2827		2214
		2017-08-06	679		679
		2016-08-28	1284		1284
1991-10-18	M	2018-11-29	2828		685
	F	2018-07-26	2829	black	162
1924-05-10	F	2015-10-31	351	asian	351
2019-08-18		2023-08-28	2830		605
		2019-06-18	2831		631
	M	2018-10-06	2832		2059
1941-04-04		2018-12-24	1156		1156
1944-11-20		2022-04-11	2833		1156
1991-05-14		2017-10-24	2834		643
1996-04-24		2018-04-12	2835		2027
2009-06-17	M	2018-08-12	316		316
1944-05-04	F	2023-07-14	52	asian	52
1909-11-23	F	2019-11-08	1842		1842
1918-10-06	F	2020-04-12	1921		1921
		2016-03-31	2836		1564
1941-07-15	M	2016-02-03	450		450
		2021-06-07	2837		2321
1915-06-03		2023-03-22	2838		22
	M	2016-11-01	156		156
		2015-05-14	247		247
		2015-04-16	2839		845
		2015-07-25	2111	white	2111
		2019-11-28	2840		112
		2015-01-08	2841	indian	2168
1983-06-03		2022-05-02	1900		1900
1957-11-02		2014-05-18	1588		1588
	M	2019-07-03	2842		798
		2019-05-12	1069	white	1069
		2021-06-10	811		811
1955-10-05	F	2018-12-01	1453		1453
		2018-06-17	1948		1948
1984-05-05	M	2015-11-10	2843		2205
1914-02-10		2014-04-13	761		761
		2014-07-18	2844		789
		2018-04-18	2845		1682
	F	2013-11-10	2846		37
	F	2021-05-19	2847		289
	M	2018-04-08	2848		1192
	F	2022-01-05	2124		2124
1982-09-20		2019-09-26	159	unspecified	159
1933-09-07		2014-10-11	1159		1159
1932-12-14		2020-12-10	2849		1856
2007-04-16		2020-04-14	717		717
1974-08-02	M	2017-11-04	2850		1348
1911-07-17	M	2017-03-10	2851		201
1914-04-30	F	2020-07-14	2852	asian	1995
		2020-11-08	2853	asian	753
1934-04-13		2018-07-05	791		791
1990-04-01	M	2019-01-15	1452		1452
2008-11-20	F	2020-09-14	2854		1092
2008-10-08	F	2018-07-19	2855	unspecified	1276
1996-04-25		2023-04-19	2856		1031
1948-01-24		2017-01-08	949		949
	M	2016-11-25	2857		903
2023-01-12		2022-02-13	2858		466
2004-11-22		2014-04-13	2859		254
1908-08-14		2013-12-28	2366	black	2366
1976-06-02		2022-04-27	2860	black	2250
1969-09-30		2019-01-17	878	white	878
		2021-04-08	2861	indian	1573
1909-09-06	F	2019-05-07	2862	white	340
1962-08-16		2018-12-30	230		230
1941-03-26		2019-01-03	2292		2292
		2020-07-07	1405	black	1405
1921-03-28	F	2022-10-30	2863		1750
		2020-12-09	1141		1141
1909-05-31		2019-04-22	1736		1736
1908-01-21	F	2020-06-21	499		499
		2015-12-06	2864		691
	F	2020-04-18	2865		924
	F	2016-05-21	1827		1827
	F	2017-06-28	2866		1190
		2021-07-05	2867		2528
2023-03-06		2019-12-18	217		217
		2021-06-26	2028	unspecified	2028
	F	2021-11-02	2022		2022
	M	2018-09-05	120	unspecified	120
		2017-08-21	2868	asian	1569
1949-09-07	M	2015-10-14	2869		1177
	M	2019-04-05	2870		1685
1971-12-10		2021-08-15	2871	unspecified	398
		2018-10-06	141		141
1914-02-08		2017-09-20	2872		1996
		2018-09-13	2873		2300
1978-03-07		2016-08-25	2874		1658
	M	2020-10-07	2126		2126
	F	2015-09-03	2875		845
	M	2018-10-22	2876	white	1324
1940-12-10	M	2017-01-19	2877		514
		2017-06-08	81	unspecified	81
		2019-05-06	2878		1717
	M	2014-06-14	2879	asian	2020
	F	2018-02-10	2880		374
		2021-07-03	1085		1085
	F	2013-11-16	240		240
1982-12-05	F	2023-09-03	2881	white	1906
1993-03-07	F	2021-09-19	2882		1849
1946-07-10		2021-08-19	1427		1427
1940-05-26		2019-03-30	2883	unspecified	1279
2018-10-26	F	2021-12-23	2884		1033
	M	2022-04-17	2348		2348
	F	2014-03-29	2885	white	62
		2015-08-10	2886		1878
	F	2021-09-24	2887		1913
1935-08-18		2018-12-03	2888		1842
2018-11-17	F	2022-07-06	595		595
	M	2023-02-01	476	white	476
		2017-03-16	2889		71
		2015-12-15	851	asian	851
	M	2021-11-21	2235	unspecified	2235
		2020-09-17	1699	unspecified	1699
2014-08-17	F	2019-09-18	1000		1000
	F	2016-05-23	1393	black	1393
2002-11-23	F	2019-04-05	2291		2291
		2021-04-01	1483	black	1483
1948-07-08		2018-07-30	1232		1232
	M	2016-08-16	2890		476
	F	2016-05-01	555		555
1944-09-04		2020-11-21	308		308
1985-10-19	F	2018-07-04	556		556
	M	2017-10-15	2407		2407
1924-08-08	M	2018-04-06	1529		1529
	M	2014-01-09	445	asian	445
1911-11-06	M	2014-05-20	1714		1714
	M	2022-09-02	2891		1680
1958-05-24		2020-06-23	2281		2281
	M	2022-05-31	2273		2273
1939-05-22		2014-03-18	2892		582
		2018-04-23	617	white	617
		2019-02-06	1103		1103
	M	2015-06-07	363	unspecified	363
1937-06-04	F	2021-06-27	2893	black	796
1916-05-21		2018-12-22	723		723
1908-06-25		2019-01-19	839	black	839
2018-05-22	M	2019-04-09	1965		1965
1929-08-27	F	2018-07-15	2894		750
		2019-01-08	2895		1468
	F	2023-06-15	2896		118
1929-12-12		2016-06-02	1327		1327
1928-01-20		2019-03-09	225		225
		2016-10-27	1478		1478
1977-03-14		2015-09-19	2555	white	2555
2016-01-29		2017-08-09	65		65
		2019-08-27	1331		1331
2004-12-17	M	2019-05-16	2313		2313
1952-04-28	M	2020-06-18	2897		148
1986-11-17		2015-05-03	2898		180
	F	2020-06-22	2899		1287
2023-08-11		2014-09-21	2900		817
	F	2014-05-01	2901	white	1403
2011-08-26		2017-04-20	2902		741
1947-08-13	M	2020-07-08	2903	white	1103
1925-02-01		2023-05-15	2904		1779
		2017-04-05	2127	white	2127
		2016-05-11	1934	black	1934
1946-01-28		2021-10-21	126		126
		2023-07-11	2905		2263
	F	2019-04-28	2906		551
1941-02-27	F	2017-01-29	1059	indian	1059
1983-05-29	M	2014-02-17	364		364
1938-05-30	M	2022-07-18	2460		2460
	F	2016-11-28	1444		1444
		2014-05-04	213	unspecified	213
2001-03-25	M	2016-08-12	2907		1800
		2016-10-20	2908		269
1913-08-13		2022-06-22	326		326
2017-05-19		2014-09-18	152		152
	F	2013-10-13	1034		1034
		2020-06-08	2909		1038
1988-12-30		2019-06-25	588	asian	588
1988-06-09		2023-08-14	2910		889
		2017-07-16	2325		2325
1922-02-26		2016-10-19	2106	white	2106
		2022-03-17	509		509
		2015-05-28	2109		2109
1920-10-19	M	2015-07-02	2911		418
	F	2022-10-06	2912	asian	1735
1926-06-16	F	2017-09-13	0		0
		2017-09-24	2913		999
	F	2020-03-03	2914	white	1324
		2023-01-08	619		619
		2014-01-20	585		585
2020-11-23		2020-09-15	2915	unspecified	118
1994-05-28		2016-06-29	2916		1365
	F	2023-01-09	1280		1280
1962-11-13	F	2023-08-22	740		740
		2018-10-06	2917	white	1075
1924-04-17		2013-11-27	2918		2229
1969-06-18	F	2020-11-03	2919		220
	F	2016-12-08	2920		1581
		2021-12-24	696	unspecified	696
1915-12-07		2021-03-26	612		612
	F	2021-06-20	2921	asian	2096
1936-10-08		2014-08-28	1663		1663
1967-07-07	M	2023-07-30	2922	white	213
		2018-10-27	16	black	16
	M	2020-11-01	2923		579
2020-02-28	M	2014-06-09	1812		1812
	M	2015-06-06	584	unspecified	584
		2014-08-04	2924		1854
	F	2017-05-13	2925		1351
1952-07-30		2020-06-19	604	asian	604
		2020-10-07	867		867
		2014-06-28	2163		2163
1986-02-04	M	2021-09-03	2307	unspecified	2307
		2016-10-19	2417	asian	2417
	M	2015-02-15	563		563
	F	2016-01-07	651	unspecified	651
1914-08-03		2023-07-13	987	white	987
		2023-06-10	581		581
1909-07-11		2018-05-28	510		510
1941-12-14		2013-11-16	2926	asian	1731
1949-05-22		2017-07-01	471		471
1982-01-19		2016-09-08	443	unspecified	443
1996-03-01	M	2022-09-12	2502		2502
	F	2022-07-10	616		616
1941-11-17	F	2016-10-17	2927		429
1991-02-02	F	2014-11-08	1881		1881
		2020-12-03	2928		2379
		2022-04-04	2929	black	1753
		2021-11-28	2930	unspecified	2399
		2023-06-30	907		907
1997-12-16	M	2018-05-01	2931		616
	M	2018-11-24	570	unspecified	570
	M	2020-10-12	170	black	170
	M	2019-09-09	2932		1680
1984-10-31		2019-05-31	1905	black	1905
1995-11-23		2015-09-03	2933		369
1922-01-09	F	2015-04-08	1458		1458
1974-05-03		2023-03-04	2934	unspecified	2428
		2019-04-26	2935		265
		2020-03-15	2936	asian	1850
1924-08-26		2022-05-16	2551		2551
		2022-10-24	1590		1590
1924-10-31		2015-06-04	2937		1453
	F	2022-08-30	2938	unspecified	2087
1938-05-17		2021-03-06	2939		1453
1971-03-17	M	2014-07-23	2940	white	2324
		2023-09-02	2941	indian	1622
	F	2020-09-09	1606		1606
1914-05-26	M	2021-12-01	368	indian	368
